ID	Name	Strain
-1	Sulfolobus sp	A20
-1	Sulfolobus solfataricus	98/2
111955	Sulfurisphaera tokodaii	
207243	Palaeococcus helgesonii	
227598	Thermococcus celericrescens	TS2
92642	Hydrogenobacter subterraneus	
608506	Caldicellulosiruptor obsidiansis	OB47
54076	Thermococcus zilligii	
693661	Archaeoglobus veneficus	SNP6, DSM 11195
381751	Thermocrinis minervae	
240166	Desulfurobacterium pacificum	
345592	Hydrogenivirga okinawensis	
330779	Sulfolobus acidocaldarius	98-3, DSM 639
1408159	Thermotoga caldifontis	
274	Thermus thermophilus	
29323	Thermoanaerobacter brockii	
1163730	Fervidicoccus fontis	Kam940
1170224	Caldicoprobacter guelmensis	
282676	Acidianus manzaensis	YN-25
-1	Sulfolobus solfataricus	P1
1344584	Archaeoglobus fulgidus	DSM 8774
399549	Metallosphaera sedula	DSM 5348
688269	Pseudothermotoga thermarum	DSM 5069
373054	Calditerricola satsumensis	
213185	Methanotorris formicicus	Mc-S-70
312539	Acidianus sulfidivorans	JP7
56956	Thermus brockianus	
2586643	Thermococcus indicus	
-1	Caldicellulosiruptor kristjanssonii	177R1B, DSM 12137
444093	Ammonifex thiophilus	
444091	Caldimicrobium rimae	
62609	Thermocladium modestius	
632348	Caldicellulosiruptor kronotskyensis	2002
-1	Thermotoga sp	RQ2
448141	Calditerricola yamamurae	
496831	Thermovorax subterraneus	
-1	Sulfolobus tokodaii	7, JCM 10545
309799	Dictyoglomus thermophilum	H-6-12, ATCC 35947
644966	Thermaerobacter marianensis	7p75a, DSM 12885
936138	Phorcysia thermohydrogeniphila	
648996	Thermovibrio ammonificans	HB-1, DSM 15698
171869	Thermovibrio ruber	
119072	Thermoanaerobacter tengcongensis	
387631	Archaeoglobus sulfaticallidus	PM70-1, DSM 19444 (Asulf_version1)
380763	Sulfurihydrogenibium rodmanii	
47304	Metallosphaera prunae	DSM 10039
2285	Sulfolobus acidocaldarius	Ron 12/11
632518	Caldicellulosiruptor owensensis	OL
309805	Persephonella marina	
276	Thermus filiformis	
1056495	Caldisphaera lagunensis	DSM 15908
223788	Balnearium lithotrophicum	
240169	Desulfurobacterium atlanticum	
633813	Rhodothermus profundi	
90323	Thermosipho japonicus	
90323	Thermosipho japonicus	
348842	Desulfovirgula thermocuniculi	
694059	Thermoanaerobacter pentosaceus	
911092	Caldanaerobacter subterraneus	
-1	Geobacillus sp	WCH70
175696	Thermaerobacter subterraneus	
64160	Desulfurobacterium thermolithotrophum	
391009	Thermosipho melanesiensis	BI429
680118	Methanothermobacter tenebrarum	
79601	Metallosphaera hakonensis	DSM 7519
1123386	Thermus antranikianii	
532059	Thermus composti	
456163	Thermus parvatiensis	
206045	Vulcanithermus mediatlanticus	
520764	Fervidicola ferrireducens	
351627	Caldicellulosiruptor saccharolyticus	DSM 8903
667014	Thermodesulfatator indicus	CIR29812, DSM 15286
289377	Thermodesulfobacterium commune	DSM 2178
771875	Fervidobacterium pennivorans	Ven 5, DSM 9078
2082189	Methanofervidicoccus abyssi	
29344	Clostridium fervidus	
153832	Thermus rehai	
381764	Fervidobacterium nodosum	Rt17-B1
44754	Fervidobacterium gondwanense	
2704	Thermoanaerobacter acetoethylicus	
133270	Hydrogenothermus marinus	
1123380	Thermosipho atlanticus	
238991	Thermosipho atlanticus	
651457	Kosmotoga olearia	
1045764	Methanothermobacter crinale sp	Tm2
1123388	Thermus igniterrae	
632292	Caldicellulosiruptor hydrothermalis	108
2423	Fervidobacterium islandicum	
548918	Fervidobacterium riparium	
324602	Chloroflexus aurantiacus	J-10-fl
554949	Thermaerobacter composti	
271	Thermus aquaticus	
1123389	Thermus islandicus	
608538	Hydrogenobacter thermophilus	TK-6, DSM 6534
246194	Carboxydothermus hydrogenoformans	Z-2901
580331	Thermoanaerobacter italicus	Ab9, DSM 9252
106578	Thermoanaerobacter siderophilus	
412593	Thermosulfidibacter takaii	
317015	Thermaerobacter litoralis	
159723	Thermaerobacter nagasakiensis	
432331	Sulfurihydrogenibium yellowstonense	
1330330	Kosmotoga pacifica	
1198630	Thermoanaerobacter thermohydrosulfuricus	
-1	Caldicellulosiruptor lactoaceticus	6A, DSM 9545
266825	Thermus yunnanensis	
74714	Thermoanaerobacter sulfurophilus	
301953	Caldicellulosiruptor acetigenus	
33938	Geobacillus thermocatenulatus	
235909	Geobacillus kaustophilus	HTA426
933949	Brockia lithotrophica	
1757	Thermoanaerobacter ethanolicus	
246264	Hydrogenivirga caldilitoris	
484019	Thermosipho africanus	TCF52B
1653476	Caldimicrobium thiodismutans	
48382	Thermothrix thiopara	
551788	Caldicoprobacter oshimai	
518766	Rhodothermus marinus	R-10, DSM 4252
482827	Thermus arciformis	
429009	Ammonifex degensii	KC4
439481	Aciduliprofundum boonei	T469
309801	Thermomicrobium roseum	DSM 5159
79269	Desulfurella multipotens	
1167092	Thermorudis pharmacophila	
555079	Thermosediminibacter oceani	JW/IW-1228P, DSM 16646
291989	Thermosediminibacter litoriperuensis	
159731	Thermovenabulum ferriorganovorum	
1422	Geobacillus stearothermophilus	
1495650	Thermoflexus hugenholtzii	
937334	Caldicoprobacter faecalis	
583357	Thermoanaerobacter mathranii	
2547829	Hydrogenobacter halophilus	
403219	Archaeoglobus infectus	
883812	Geobacillus galactosidasius	
660294	Thermosipho affectus	
117503	Thermosipho geolei	
660294	Thermosipho affectus	
117503	Thermosipho geolei	
182900	Persephonella guaymasensis	
407998	Venenivibrio stagnispumantis	
1532350	Metallosphaera tengchongensis	
41673	Acidianus brierleyi	DSM 1651
146920	Acidianus tengchongensis	
39100	Pseudothermotoga subterranea	
447594	Caldanaerobacter uzonensis	
380685	Thermosipho globiformans	
380685	Thermosipho globiformans	
309798	Coprothermobacter proteolyticus	DSM 5265
525904	Thermobaculum terrenum	YNP1, ATCC BAA-798
38322	Pseudothermotoga elfii	
-1	Geobacillus sp	Y4.1MC1
-1	Geobacillus sp	Y412MC52
81408	Parageobacillus caldoxylosilyticus	
699281	Caldicoprobacter algeriensis	
1914305	Desulfurobacterium indicum	
1462921	Thermosipho activus	
1462921	Thermosipho activus	
501340	Kosmotoga shengliensis	
83982	Methanobacterium thermaggregans	
1006006	Metallosphaera cuprina	Ar-4
47303	Sulfolobus metallicus	
671077	Caldinitratiruptor microaerophilus	
874266	Rhabdothermus arcticus	
2509362	Thermus thermamylovorans	
337094	Planifilum yunnanense	
1936021	Thermosulfuriphilus ammonigenes	
416591	Pseudothermotoga lettingae	TMO
2045011	Candidatus Nitrosocaldus islandicus	
872965	Ardenticatena maritima	
1430331	Geobacillus icigianus	
33957	Caloramator indicus	
314583	Desulfotomaculum salinum	
647113	Methanothermococcus okinawensis	IH1
42471	Desulfotomaculum thermocisternum	
33950	Thermoanaerobacterium thermosulfirigenes	
500465	Deferribacter autotrophicus	
1279027	Hippea alviniae	
1108801	Planifilum composti	
1016997	Polycladomyces subterraneus	
576944	Anoxybacillus tengchongensis	
498375	Candidatus Nitrosocaldus yellowstonensis	
1566	Desulfotomaculum australicum	
2058097	Candidatus Nitrosocaldus cavascurensis	
54265	Carboxydothermus ferrireducens	
732235	Thermogemmatispora foliorum	
732234	Thermogemmatispora onikobensis	
29350	Thermoanaerobacter thermocopriae	
145261	Methanothermobacter wolfeii	SIV6
161154	Thermanaeromonas toyohensis	
1303518	Chthonomonas calidirosea	T49, DSM 23976 (Chthonomonas calirisosea T49, DSM 23976)
460873	Sulfurihydrogenibium kristjanssonii	
204536	Sulfurihydrogenibium azorense	Az-Fu1
171864	Thermus kawarayensis	
665571	Spirochaeta thermophila	DSM 6192
869279	Thermanaerothrix daxensis	
1125966	Polycladomyces abyssicola	
198703	Persephonella hydrogeniphila	
869210	Marinithermus hydrothermalis	T1, DSM 14884
160792	Caldanaerobius zeae	
44256	Caldanaerobius polysaccharolyticus	
2325	Thermoanaerobacter kivui	DSM 2030
120958	Thermoanaerobacter sulfurigignens	
33070	Synechococcus lividus	
348840	Desulfotomaculum thermosubterraneum	
491915	Anoxybacillus flavithermus	WK1, DSM 2641
944479	Hippea jasoniae	
447593	Thermoanaerobacter uzonensis	
1323375	Anoxybacter fermentans	
135517	Geobacillus vulcani	
1508420	Thermotoga profunda	
694431	Desulfurella acetivorans	A63, DSM 5264
1324935	Limisphaera ngatamarikiensis	
1330700	Thermus caliditerrae	
1401547	Thermomicrobium carboxidum	
496866	Thermoanaerobacter pseudethanolicus	
1670455	Sulfodiicoccus acidiphilus	
34092	Hydrogenobaculum acidophilum	
213419	Geobacillus zalihae	
511051	Caldisericum exile	AZM16c01, NBRC 104410
693075	Caldisericum exile	
145263	Methanothermobacter marburgensis	Marburg DSM 2133
145262	Methanothermobacter thermautotrophicus	Delta H
2186	Methanococcus thermolithotrophicus	
443254	Marinitoga piezophila	KA3
1469144	Streptomyces thermoautotrophicus	
1214928	Thermus tengchongensis	
661089	Carboxydothermus islandicus	
870242	Carboxydothermus pertinax	
441616	Carboxydothermus siderophilus	
676965	Moorella humiferrea	
202604	Moorella mulderi	
1266720	Moorella stamsii	
1226730	Thermanaeromonas burensis	
520767	Thermovenabulum gondwanense	
289376	Thermodesulfovibrio yellowstonii	DSM 11347
-1	Aciduliprofundum sp	MAR08-339
1874277	Conexivisphaera calidus	
1382356	Thermorudis peleae	
54294	Thermosyntropha lipolytica	
405212	Alicyclobacillus acidocaldarius	
639282	Deferribacter desulfuricans	SSM1
206249	Desulfurobacterium crinifex	
171121	Sulfurihydrogenibium subterraneum	
108007	Thermanaerovibrio velox	
1449080	Thermus amyloliquefaciens	
89784	Alicyclobacillus hesperidum	
1156395	Dissulfuribacter thermophilus	
28896	Thermoanaerobacterium saccharolyticum	JW/SL-YS485, DSM 8691
858215	Thermoanaerobacterium xylanolyticum	LX-11, DSM 7097
-1	Geobacillus thermokeovorans	CCB_US3_UF5
153151	Geobacillus toebii	
1173302	Anoxybacillus kaynarcensis	
301148	Caldibacillus debilis	
880073	Caldithrix abyssi	LF13, DSM 13497
659425	Clostridium caenicola	DSM 19027
515264	Caloramator australicus	
1323370	Caloranaerobacter ferrireducens	
285110	Carboxydocella sporoproducens	
152526	Caminibacter hydrogeniphilus	
570855	Marinitoga litoralis	
185139	Rubrobacter taiwanensis	
873078	Thermosyntropha tengcongensis	
504728	Meiothermus ruber	DSM 1279
1930763	Thermus caldifontis	
86166	Thermodesulfovibrio aggregans	
1573172	Deferrisoma palaeochoriense	
744873	Carboxydocella manganica	
281456	Thermincola ferriacetica	
182411	Anaerobranca californiensis	
81408	Geobacillus caldoxylosilyticus	
169283	Geobacillus lituanicus	
33940	Geobacillus thermodenitrificans	
198467	Anoxybacillus gonensis	
1424653	Cetia pacifica	
389480	Marinitoga okinawensis	
411923	Moorella perchloratireducens	
515440	Oceanotoga teriensis	
1560	Moorella thermoautotrophica	
351607	Acidothermus cellulolyticus	11B
575178	Anoxybacillus calidus	
651866	Anoxybacillus eryuanensis	
674972	Microaerobacter geothermalis	
1548890	Brassicibacter thermophilus	
1096341	Fonticella tunisiensis	
2224	Methanothrix thermoacetophila	Z-517
291048	Caminibacter mediatlanticus	
1565	Desulfotomaculum nigrificans	
142584	Meiothermus rosaceus	
1339250	Meiothermus taiwanensis	
1938353	Desulfothermobacter acidiphilus	
79270	Desulfurella kamchatkensis	
227476	Anoxybacillus kestanbolensis	
2078954	Bacillus manusensis	
265546	Anoxybacillus ayderensis	
1245522	Bacillus thermophilus	
409997	Anoxybacillus bogrovensis	
454194	Pyrinomonas methylaliphatogenes	
1294262	Sulfuracidifex tepidarius	IC-006
1294262	Sulfuracidifex tepidarius	IC-007
392844	Desulfothermus naphthae	
1426	Geobacillus thermoglucosidasius	
634956	Parageobacillus thermoglucosidasius	C56-YS93
771855	Anoxybacillus salavatliensis	
1560	Clostridium thermoautotrophicum	
1750597	Inmirania thermothiophila	
1246530	Calderihabitans maritimus	
1515	Acetivibrio thermocellus	
373903	Halothermothrix orenii	H 168
261685	Thermosinus carboxydivorans	
670487	Oceanithermus profundus	506, DSM 14977
178899	Carboxydocella thermautotrophica	
580340	Thermovirga lienii	Cas60314, DSM 17291
53342	Caloramator proteoclasticus	
278994	Thermincola carboxydiphila	
1742923	Thermostilla marina	
242698	Thermoanaerobacterium aciditolerans	
128945	Nautilia lithotrophica	
715028	Thermoanaerobacterium calidifontis	
267990	Lebetimonas acidiphila	
1392640	Rubrobacter calidifluminis	
1392641	Rubrobacter naiadicus	
1003997	Alicyclobacillus cellulosilyticus	
404937	Anoxybacillus thermarum	
85993	Hydrogenophilus hirschii	
201973	Planifilum fulgidum	
456330	Caldanaerobius fijiensis	
196180	Anoxybacillus kamchatkensis	
265470	Desulfurispora thermophila	
273116	Thermoplasma volcanium	GSS1
1123352	Tepidimicrobium xylanilyticum	
317575	Methylothermus thermalis	
311460	Anoxybacillus rupiensis	
265948	Anoxybacillus tepidamans	
150248	Anoxybacillus pushchinensis	
47490	Thermoanaerobacterium aotearoense	
581036	Anoxybacillus vitaminiphilus	
482825	Meiothermus cateniformans	
42448	Anaerobranca horikoshii	
1608465	Natrinema thermophila	
116090	Caloranaerobacter azorensis	
2186	Methanothermococcus thermolithotrophicus	SN-1
186116	Geobacillus thermantarcticus	
186116	Parageobacillus thermantarcticus	
933063	Dichotomicrobium thermohalophilum	
294699	Anoxybacillus amylolyticus	
1081799	Thermomarinilinea lacunofontalis	
1868734	Aeribacillus composti	
247480	Anoxybacillus caldiproteolyticus	
1490051	Anoxybacillus geothermalis	
296745	Caldalkalibacillus thermarum	
650508	Caldithrix palaeochoryensis	
568790	Caloramator boliviensis	
213806	Deferribacter abyssi	
53573	Deferribacter thermophilus	
1677857	Herbivorax saccincola	
688066	Kosmotoga arenicorallina	
2224	Methanothrix thermoacetophila	CALS-1
498371	Nautilia abyssi	
1229250	Ammoniibacillus agariperforans	
190967	Desulfotomaculum solfataricum	
287990	Marinitoga hydrogenitolerans	
301141	Petrotoga halophila	
665105	Petrotoga japonica	
46632	Picrophilus oshimae	
82076	Picrophilus torridus	
266117	Rubrobacter xylanophilus	DSM 9941
35837	Desulfacinum infernum	
2026184	Meiothermus luteus	
227924	Oceanithermus desulfurans	
55505	Thermonema rossianum	
235932	Geobacillus jurassicus	
69499	Petrotoga mobilis	
201975	Planifilum fimeticola	
1495039	Mesoaciditoga lauensis	
49896	Acetomicrobium flavidum	
1089553	Thermacetogenium phaeum	PB, DSM 12270
55779	Moorella glycerini	
94009	Thermicanus aegyptius	
-1	Clostridium clariflavum	EBR 45, DSM 19732
166485	Caminicella sporogenes	
1473580	Defluviitalea phaphyphila	
697197	Methylothermus subterraneus	
1236215	Desulfotomaculum peckii	
58136	Desulfotomaculum thermoacetoxidans	
891968	Acetomicrobium mobile	DSM 13181
604332	Meiothermus rufus	
307124	Meiothermus timidus	
1571185	Marinithermofilum abyssi	
264732	Moorella thermoacetica	ATCC 39073
-1	Thermosynechococcus elongatus	BP-1
1006576	Defluviitoga tunisiensis	
192387	Alicyclobacillus sendaiensis	
252246	Alicyclobacillus vulcanalis	
562970	Kyrpidia tusciae	T2, DSM 2912
360411	Bellilinea caldifistulae	
129339	Geobacillus uzenensis	
203540	Bacillus aeolius	
1245521	Bacillus borbori	
1204385	Litorilinea aerophila	
133453	Caldilinea tarbellica	
133453	Caldilinea aerophila	STL-6-O1, DSM 14535
1259795	Coprothermobacter platensis	
768670	Calditerrivibrio nitroreducens	Yu37-1, DSM 19672
213224	Geothermobacter ehrlichii	
630405	Cellulosibacter alkalithermophilus	
223786	Hydrogenimonas thermophila	
545536	Hydrogenophilus islandicus	
1325125	Kallotenue papyrolyticum	
1679721	Herbinix luporum	
2200	Methanoculleus thermophilus	
349307	Methanothrix thermoacetophila	PT
217041	Caminibacter profundus	
646273	Nautilia nitratireducens	
-1	Nitratiruptor sp	SB155-2
927786	Brevibacillus aydinogluensis	
370438	Pelotomaculum thermopropionicum	SI
106262	Marinitoga camini	
204046	Petrotoga mexicana	
28237	Petrotoga miotherma	
1674942	Caenibacillus caldisaponilyticus	
471799	Symbiobacterium ostreiconchae	
649746	Acetomicrobium hydrogeniformans	
-1	Meiothermus silvanus	VI-R2, DSM 9946
526227	Thermus silvanus	
573074	Laceyella sediminis	
1382306	Thermogemmatispora carboxidivorans	
990712	Albidovulum xiamenense	
760142	Hippea maritima	MH2, DSM 10411
747365	Thermodesulfobium narugense	Na82, DSM 14796
1304284	Caldisalinibacter kiritimatiensis	
95159	Caloramator coolhaasii	
394967	Methanoculleus receptaculi	
1707527	Brevibacillus sediminis	
108328	Anaerobranca gottschalkii	
1248146	Thermotunica guangxiensis	
1242148	Melghirimyces profundicolus	
1702242	Thermoanaerobacterium butyriciformans	
2493090	Thermomonospora catenispora	
114249	Tepidimonas ignava	
40991	Thiomonas thermosulfata	
1281767	Tepidibacillus fermentans	
1750598	Dissulfurimicrobium hydrothermale	
1644118	Meiothermus roseus	
1644115	Laceyella thermophila	
1173111	Lihuaxuella thermophila	
1471761	Novibacillus thermophilus	
996765	Caloribacterium cisternae	
471852	Thermomonospora curvata	DSM 43183
115335	Actinomadura rubrobrunea	
58112	Actinomadura viridilutea	
2020	Thermomonospora curvata	
1169913	Vulcaniibacterium thermophilum	
1519374	Amphiplicatus metriothermophilus	
507754	Acidiplasma aeolicum	
2734	Symbiobacterium thermophilum	
469371	Thermobispora bispora	R51, DSM 43833
51173	Ureibacillus thermosphaericus	
109258	Desulfacinum hydrothermale	
112729	Caloramator viterbiensis	
564288	Desulfonauticus autotrophicus	
436000	Anaerobranca zavarzinii	
230470	Anoxybacillus voinovskiensis	
353224	Caldalkalibacillus uzonensis	
273075	Thermoplasma acidophilum	DSM 1728
1434121	Methanosarcina thermophila	CHTI-55
76633	Thermobacillus xylanilyticus	
79271	Desulfurella propionica	
1936991	Lebetimonas natsushimae	
312540	Acidiplasma cupricumulans	
312540	Ferroplasma cupricumulans	BH2
1289106	Sinibacillus soli	
698948	Thermoanaerobacterium thermosaccharolyticum	M0795
610254	Desulfosoma caldarium	
1564487	Herbinix hemicellulosilytica	
73780	Methylocaldum szegediense	
29376	Desulfotomaculum thermobenzoicum	
1324956	Melghiribacillus thermohalophilus	
696763	Thermasporomyces composti	
279810	Thiobacter subterraneus	
1035120	Deferrisoma camini	
285106	Tepidimicrobium ferriphilum	
29372	Clostridium thermobutyricum	
5087	Thermoascus aurantiacus	
717605	Thermobacillus composti	KWC4, DSM 18247
1247960	Bacillus kokeshiiformis	
203471	Tepidiphilus margaritifer	
370323	Haloterrigena limicola	
209537	Thermomyces ibadanensis	
122960	Alicyclobacillus herbarius	
288966	Lutispora thermophila	
232270	Effusibacillus pohliae	
926569	Anaerolinea thermophila	UNI-1
1325335	Anoxybacillus suryakundensis	
1471	Bacillus methanolicus	
337097	Vulcanibacillus modesticaldus	
1393122	Crenotalea thermophila	
326427	Chloroflexus aggregans	DSM 9485
908809	Caloramator mitchellensis	
391358	Caldimonas hydrothermale	
307483	Caldimonas taiwanensis	
1856807	Petrothermobacter organivorans	
380392	Desulfomicrobium thermophilum	
218205	Garciella nitratireducens	
224436	Tepidiphilus succinatimandens	
1441386	Athalassotoga saccharophila	
1041930	Methanocella conradii	HZ254
431057	Methylacidiphilum kamchatkense	
1293048	Halopiger goleimassiliensis	
1033264	Paenibacillus marinum	
412895	Desulfotomaculum hydrothermale	
156203	Petrotoga olearia	
367742	Ureibacillus composti	
1245527	Ureibacillus defluvii	
471857	Saccharomonospora viridis	P101, DSM 43017
608505	Sporolituus thermophilus	
557451	Symbiobacterium terraclitae	
1120986	Acetomicrobium thermoterrenum	
869805	Desulfosoma profundi	
643648	Syntrophothermus lipocalidus	DSM 12680
65552	Meiothermus cerbereus	
1329516	Thermoactinomyces daqus	
340095	Thermodesulfovibrio thiophilus	
981385	Thermotomaculum hydrothermale	
176598	Pseudoxanthomonas taiwanensis	
1852309	Calorithrix insularis	
1101373	Tepidimonas fonticaldi	
307486	Tepidimonas taiwanensis	
1134405	Melioribacter roseus	P3M
392012	Alicyclobacillus kakegawensis	
392015	Alicyclobacillus macrosporangiidus	
392016	Alicyclobacillus contaminans	
28034	Sulfobacillus thermosulfidooxidans	
1450156	Defluviitalea raffinosedens	
879970	Defluviitalea saccharophila	
876478	Tepidiphilus thermophilus	
364032	Sulfurivirga caldicuralii	
340097	Tuberibacillus calidus	
1411133	Geothermomicrobium terrae	
159343	Gelria glutamica	
335431	Tepidimonas thermarum	
2601677	Tepidiforma bonchosmolovskayae	
1348429	Effusibacillus lacus	
209285	Chaetomium thermophilum	
225584	Crassicarpon thermophilum	
332249	Truepera radiovictrix	
225988	Anoxybacillus contaminans	
1245523	Bacillus composti	
996558	Bacillus hisashii	
1274353	Bacillus sediminis	
1215031	Bacillus thermocopriae	
251051	Bacillus thermolactis	
1245525	Compostibacillus humi	
1242744	Georgenia sediminis	
1378066	Chroococcidiopsis sp	TS-821
420412	Clostridium tepidiprofundi	
376175	Schlegelella aquatica	
392842	Desulfothermus okinawensis	
392421	Haloterrigena hispanica	
121872	Haloterrigena thermotolerans	PR5
1927129	Methanonatronarchaeum thermophilum	
58137	Desulfotomaculum thermosapovorans	
1216062	Desulfotomaculum tongense	
214905	Tepidibacter thalassicus	
2016530	Raineya orbicola	
884107	Schleiferia thermophila	
1469162	Scopulibacillus daqui	
1088767	Thermoactinospora rubra	
52023	Thermus chliarophilus	
52023	Calidithermus chliarophilus	
1274356	Kroppenstedtia guangzhouensis	
1490296	Thermostaphylospora grisealba	
