Name	Strain	Temp	Source_ID
Euglena clara	USI-21	20 (25) C	NIES-253
Euglena gracilis		20 (25) C	NIES-47
Euglena gracilis	Z strain	20 (25) C	NIES-48
Euglena gracilis		20 (25) C	NIES-49
Eutreptiella gymnastica	KGW-63-1	20 C	NIES-381
Echinosphaeridium nordstedtii	F-56-3	20 (25) C	NIES-137
Gonatozygon brebissonii	KAS-4-43	20 (20) C	NIES-138
Gonatozygon brebissonii	TAC 56-1 (TAN-56-1)	20 (20) C	NIES-139
Gonatozygon monotaenium	TAC 53-3 (TAN-53-3)	20 (20) C	NIES-287
Haematococcus lacustris	MKF-8	20 (25) C	NIES-144
Hafniomonas laevis	OUT-5	20 (20) C	NIES-257
Asterionellopsis glacialis		15 C	NIES-417
Heterocapsa triquetra	OHet	20 C	NIES-7
Heterocapsa triquetra	KGW-57	20 C	NIES-235
Heterosigma akashiwo	H-28	20 C	NIES-9
Heterosigma akashiwo	H-40	20 C	NIES-10
Heterosigma akashiwo	GHE	20 C	NIES-5
Heterosigma akashiwo	OHE-1	20 C	NIES-6
Heterosigma akashiwo	KGW-21-2	20 C	NIES-146
Hyalotheca dissiliens	S-9-18	20 (20) C	NIES-147
Hyalotheca dissiliens	S-9-22	20 (20) C	NIES-148
Hyalotheca dissiliens	KAS-7-8	20 C	NIES-150
Hyalotheca dissiliens	H-1	20 (20) C	NIES-294
Hydrodictyon reticulatum	O-2	20 (25) C	NIES-295
Trachelomonas sp.	OZ-4 Eug8	20 C	NIES-2299
Mesotaenium kramstae		20 (25) C	NIES-657
Mesotaenium kramstae		20 (25) C	NIES-658
Micractinium pusillum	F-19-4	20 (25) C	NIES-151
Micrasterias crux-melitensis	N-90-27	20 (25) C	NIES-152
Nephroselmis viridis	H-70-2	20 C	NIES-486
Nostoc commune		20 (25) C	NIES-24
Nostoc commune	M-48-a	20 (25) C	NIES-38
Nostoc linckia		20 (25) C	NIES-28
Nostoc linckia		20 (25) C	NIES-25
Nostoc minutum		20 (25) C	NIES-26
Nostoc minutum		20 (25) C	NIES-29
Desmotetra delicata	KUC3-6	20 (25) C	NIES-153
Kentrosphaera sp.	6-EBO-2	20 (25) C	NIES-154
Chlorococcum chlorococcoides	3-EBO-1	20 (25) C	NIES-155
Urnella terrestris	NPL-111	20 (25) C	NIES-156
Heterochlamydomonas monticola	KUC80-4	20 (25) C	NIES-157
Chloromonas augustae	ASE-242	20 (25) C	NIES-158
Pseudopleurococcus printzii	KUC6-2	20 (25) C	NIES-159
Chlorokybus riethii	TOT-24	20 (25) C	NIES-160
Chattonella marina	Hiroshima-70	20 C	NIES-161
Cryptomonas tetrapyrenoidosa	#00109	15 C	NIES-348
Cryptomonas ovata	#00046	15 C	NIES-274
Cryptomonas ovata	#00042	15 C	NIES-275
Cryptomonas borealis	#00096	15 C	NIES-276
Cryptomonas platyuris	#00103	15 C	NIES-344
Cryptomonas sp.	#00006	15 C	NIES-345
Cryptomonas rostratiformis	#00148	15 C	NIES-277
Cryptomonas rostratiformis	#00154	15 C	NIES-278
Cryptomonas tetrapyrenoidosa	#00009	15 C	NIES-346
Cryptomonas tetrapyrenoidosa	#00014	15 C	NIES-280
Cryptomonas tetrapyrenoidosa	#00056	15 C	NIES-282
Cryptomonas tetrapyrenoidosa	#00072	15 C	NIES-347
Cryptomonas curvata	#00073	15 C	NIES-281
Cryptomonas tetrapyrenoidosa	#00099	15 C	NIES-279
Amphidinium carterae	IIDA	20 C	NIES-331
Closterium calosporum	IB-21-21	20 (25) C	NIES-162
Closterium calosporum	R-5-3	20 (20) C	NIES-163
Closterium calosporum	R-5-2	20 (20) C	NIES-164
Closterium calosporum	R-11-6	20 (25) C	NIES-165
Closterium calosporum	J5-56-11	20 (20) C	NIES-166
Closterium calosporum	J5-56-12	20 (20) C	NIES-167
Closterium calosporum	R-11-5	20 (20) C	NIES-168
Closterium calosporum	N-134-5	20 (20) C	NIES-169
Closterium calosporum	N-143-19	20 (20) C	NIES-170
Closterium calosporum	N-147-3	20 (20) C	NIES-171
Closterium calosporum	N-147-12	22 C	NIES-336
Closterium moniliferum	N-100-1	20 (20) C	NIES-172
Closterium moniliferum	S-1-22	20 (20) C	NIES-173
Closterium moniliferum	N-76-30	20 (20) C	NIES-174
Closterium navicula	N-49-7	20 (20) C	NIES-175
Closterium navicula	N-75-10	20 (20) C	NIES-176
Closterium navicula	N-79-26	20 (20) C	NIES-177
Closterium navicula	N-134-15	20 (20) C	NIES-178
Closterium gracile	N-90-58	20 (20) C	NIES-179
Closterium gracile	N-90-59	20 (20) C	NIES-180
Closterium incurvum	N-34-2	20 (20) C	NIES-181
Closterium incurvum	N-12-92	20 (20) C	NIES-337
Closterium moniliferum	S-1-13	20 (20) C	NIES-182
Closterium moniliferum	S-1-24	20 (20) C	NIES-183
Closterium peracerosum-strigosum-littorale complex	IB-4-2	15 (20) C	NIES-51
Closterium peracerosum-strigosum-littorale complex	IB-4-9	15 (20) C	NIES-52
Closterium peracerosum-strigosum-littorale complex	IB-6-8	15 (20) C	NIES-53
Closterium peracerosum-strigosum-littorale complex	IB-6-9	15 (20) C	NIES-54
Closterium peracerosum-strigosum-littorale complex	IB-8-14	15 (20) C	NIES-261
Closterium peracerosum-strigosum-littorale complex	IB-8-15	15 (20) C	NIES-55
Closterium peracerosum-strigosum-littorale complex	IB-8-24	15 (20) C	NIES-56
Closterium peracerosum-strigosum-littorale complex	IB-10-1	15 (20) C	NIES-58
Closterium peracerosum-strigosum-littorale complex	IB-10-2	15 (20) C	NIES-59
Closterium peracerosum-strigosum-littorale complex	IB-12-1	15 (20) C	NIES-60
Closterium peracerosum-strigosum-littorale complex	IB-12-2	15 (20) C	NIES-61
Closterium peracerosum-strigosum-littorale complex	IB-13-1	15 (20) C	NIES-62
Closterium peracerosum-strigosum-littorale complex	IB-13-2	15 (20) C	NIES-63
Closterium peracerosum-strigosum-littorale complex	KAS-4-29	15 (20) C	NIES-64
Closterium peracerosum-strigosum-littorale complex	KAS-4-30	15 (20) C	NIES-65
Closterium peracerosum-strigosum-littorale complex	N-13-1	15 (20) C	NIES-66
Closterium peracerosum-strigosum-littorale complex	N-31-19	15 (20) C	NIES-67
Closterium peracerosum-strigosum-littorale complex	N-31-24	15 (20) C	NIES-68
Closterium peracerosum-strigosum-littorale complex	TG-2-21	15 (20) C	NIES-69
Closterium peracerosum-strigosum-littorale complex	TG-2-22	15 (20) C	NIES-70
Closterium pleurodermatum	R-11-20	20 (25) C	NIES-449
Closterium praelongum	N-12-3	20 (20) C	NIES-450
Closterium praelongum	N-78-8	20 (20) C	NIES-451
Closterium pusillum	N-79-19	20 (20) C	NIES-185
Closterium rostratum	N-90-55	20 (20) C	NIES-338
Closterium selenastrum	R-9-40	20 (25) C	NIES-339
Closterium selenastrum	R-9-42	20 (25) C	NIES-340
Closterium spinosporum	AK-46	20 (20) C	NIES-186
Closterium spinosporum	R-9-13	20 (20) C	NIES-187
Closterium spinosporum	R-9-12	20 (20) C	NIES-341
Closterium spinosporum	M-10-1	20 (20) C	NIES-188
Closterium spinosporum	M-10-4	20 (20) C	NIES-189
Closterium spinosporum	R-12-3	20 (20) C	NIES-191
Closterium spinosporum	R-12-6	20 (25) C	NIES-192
Closterium spinosporum	R-12-2G3	20 (20) C	NIES-193
Closterium spinosporum	A-2-22	20 (25) C	NIES-194
Closterium spinosporum	A-7-3	20 (20) C	NIES-195
Closterium spinosporum	A-13-4	20 (20) C	NIES-197
Closterium tumidum	N-79-11	20 (20) C	NIES-198
Closterium venus	N-90-48	20 (20) C	NIES-199
Closterium wallichii	S-1-0	20 (20) C	NIES-200
Closterium wallichii	F60-21	20 (20) C	NIES-201
Closterium wallichii	N-63-0	20 (20) C	NIES-202
Docidium undulatum	41-11	20 C	NIES-285
Oedogonium obesum	807	20 (25) C	NIES-203
Olisthodiscus tomasii	Olisth	20 C	NIES-15
Eremosphaera gigas	O-2	20 (25) C	NIES-379
Planktothrix agardhii	K-O-A	25 C	NIES-204
Planktothrix agardhii	TAC 53 (K-TAN-53)	25 C	NIES-205
Kamptonema animale		20 (25) C	NIES-206
Oscillatoria laetevirens		20 (25) C	NIES-31
Oscillatoria limnetica		20 (25) C	NIES-36
Planktothricoides raciborskii	K-O-R	20 C	NIES-207
Oscillatoria rosea	NGS-1	20 C	NIES-208
Oscillatoria tenuis		20 (25) C	NIES-33
Prorocentrum micans	MB-D-4	20 C	NIES-316
Gloeomonas anomalipyrenoides	Kas-8	20 C	NIES-447
Pseudopediastrum alternans	K-P-40	20 C	NIES-209
