GCF_000020965.1	14	Dictyoglomus	Bacteria
GCF_000378225.1	17	Methylophilus	Bacteria
GCF_000012885.1	19	Syntrophotalea	Bacteria
GCF_001735525.1	23	Shewanella	Bacteria
GCF_025402875.1	24	Shewanella	Bacteria
GCF_007197645.1	25	Shewanella	Bacteria
GCF_900111765.1	33	Myxococcus	Bacteria
GCF_000012685.1	34	Myxococcus	Bacteria
GCF_900109545.1	41	Stigmatella	Bacteria
GCF_001027285.1	48	Archangium	Bacteria
GCF_001189295.1	52	Chondromyces	Bacteria
GCF_000018565.1	65	Herpetosiphon	Bacteria
GCF_002355975.1	69	Lysobacter	Bacteria
GCF_002951835.1	72	Simonsiella	Bacteria
GCF_000685215.1	86	Hyphomonas	Bacteria
GCF_003751345.1	94	Stella	Bacteria
GCF_004339465.1	100	Ancylobacter	Bacteria
GCF_000222485.1	104	Cyclobacterium	Bacteria
GCF_000218895.1	106	Runella	Bacteria
GCF_000024525.1	108	Spirosoma	Bacteria
GCF_000092105.1	120	Planctopirus	Bacteria
GCF_007747015.1	122	Gimesia	Bacteria
GCF_000025185.1	125	Pirellula	Bacteria
GCF_000186345.1	128	Isosphaera	Bacteria
GCF_009685195.1	134	Methylocystis	Bacteria
GCF_000181575.2	139	Borreliella	Bacteria
GCF_000184345.1	154	Spirochaeta	Bacteria
GCF_017751225.1	159	Brachyspira	Bacteria
GCF_000246755.1	160	Treponema	Bacteria
GCF_000195275.1	167	Treponema	Bacteria
GCF_002073495.2	173	Leptospira	Bacteria
GCF_003516145.1	174	Leptospira	Bacteria
GCF_000381985.1	189	Novispirillum	Bacteria
GCF_000420525.1	190	Aquaspirillum	Bacteria
GCF_007827425.1	192	Azospirillum	Bacteria
GCF_008364955.1	193	Azospirillum	Bacteria
GCF_009730395.1	195	Campylobacter	Bacteria
GCF_011600945.2	196	Campylobacter	Bacteria
GCF_000009085.1	197	Campylobacter	Bacteria
GCF_013372165.1	198	Campylobacter	Bacteria
GCF_001298465.1	199	Campylobacter	Bacteria
GCF_013372125.1	200	Campylobacter	Bacteria
GCF_000019205.1	201	Campylobacter	Bacteria
GCF_013372205.1	202	Campylobacter	Bacteria
GCF_004803795.1	203	Campylobacter	Bacteria
GCF_004803815.1	204	Campylobacter	Bacteria
GCA_022779145.1	205	Campylobacter	Bacteria
GCF_002220755.1	206	Campylobacter	Bacteria
GCF_017821535.1	210	Helicobacter	Bacteria
GCF_000009305.1	212	Helicobacter	Bacteria
GCF_000284635.1	213	Helicobacter	Bacteria
GCF_000200595.1	214	Helicobacter	Bacteria
GCF_900451005.1	215	Helicobacter	Bacteria
GCF_900450885.1	216	Helicobacter	Bacteria
GCF_900476215.1	217	Helicobacter	Bacteria
GCA_022782945.1	218	Helicobacter	Bacteria
GCA_022787285.1	218	Helicobacter	Bacteria
GCF_004328865.1	227	Pseudoalteromonas	Bacteria
GCF_000054005.1	235	Brucella	Bacteria
GCF_000016845.1	236	Brucella	Bacteria
GCF_002022145.1	238	Elizabethkingia	Bacteria
GCF_017306835.1	239	Flavobacterium	Bacteria
GCA_014378745.1	239	Flavobacterium	Bacteria
GCA_018993165.1	239	Flavobacterium	Bacteria
GCA_027531125.1	239	Flavobacterium	Bacteria
GCA_027531465.1	239	Flavobacterium	Bacteria
GCA_027532705.1	239	Flavobacterium	Bacteria
GCA_027533275.1	239	Flavobacterium	Bacteria
GCA_028687115.1	239	Flavobacterium	Bacteria
GCF_900176575.1	244	Planomicrobium	Bacteria
GCF_000757385.1	245	Flavobacterium	Bacteria
GCF_000425585.1	249	Terrimonas	Bacteria
GCF_004328965.1	250	Chryseobacterium	Bacteria
GCF_006540005.1	252	Halomonas	Bacteria
GCF_900460995.1	253	Chryseobacterium	Bacteria
GCF_003815915.1	254	Chryseobacterium	Bacteria
GCF_900453865.1	256	Myroides	Bacteria
GCF_016725645.1	258	Sphingobacterium	Bacteria
GCF_000833355.1	263	Francisella	Bacteria
GCF_000203895.1	266	Paracoccus	Bacteria
GCF_001399775.1	271	Thermus	Bacteria
GCF_000091545.1	274	Thermus	Bacteria
GCF_000771745.2	276	Thermus	Bacteria
GCF_000376665.1	277	Meiothermus	Bacteria
GCF_005871085.1	280	Xanthobacter	Bacteria
GCF_016599875.1	285	Comamonas	Bacteria
GCF_000006765.1	287	Pseudomonas	Bacteria
GCF_009586235.1	292	Burkholderia	Bacteria
GCF_900445995.1	293	Brevundimonas	Bacteria
GCF_900215245.1	294	Pseudomonas	Bacteria
GCF_015476275.1	296	Pseudomonas	Bacteria
GCF_008692035.1	298	Pseudomonas	Bacteria
GCF_000733715.2	300	Pseudomonas	Bacteria
GCF_000297075.2	301	Pseudomonas	Bacteria
GCF_000412675.1	303	Pseudomonas	Bacteria
GCF_004342485.1	304	Pelomonas	Bacteria
GCF_021117135.1	305	Ralstonia	Bacteria
GCF_003531165.1	306	Pseudomonas	Bacteria
GCF_003535575.1	306	Pseudomonas	Bacteria
GCF_015234375.1	306	Pseudomonas	Bacteria
GCF_016462755.1	306	Pseudomonas	Bacteria
GCF_018371705.1	306	Pseudomonas	Bacteria
GCF_023265965.1	306	Pseudomonas	Bacteria
GCA_003444315.1	306	Pseudomonas	Bacteria
GCA_003457265.1	306	Pseudomonas	Bacteria
GCA_003476965.1	306	Pseudomonas	Bacteria
GCA_003487845.1	306	Pseudomonas	Bacteria
GCA_003525845.1	306	Pseudomonas	Bacteria
GCA_003527295.1	306	Pseudomonas	Bacteria
GCA_003527725.1	306	Pseudomonas	Bacteria
GCA_003533745.1	306	Pseudomonas	Bacteria
GCA_003541975.1	306	Pseudomonas	Bacteria
GCA_003542075.1	306	Pseudomonas	Bacteria
GCA_004210575.1	306	Pseudomonas	Bacteria
